제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
"가장 쉬운 수업도구, 패들렛과 띵커벨",15차시,2024-06-10,5,수업 도구에 대해서,패들렛과 띵커벨 많이 들어봤지만 막상 처음 사용하기에는 엄두가 나지 않았던 프로그램이었다. 그런데 연수들으며 천천히 따라해 보니 조금씩 사용방법이 익혀져서 좋았다. ,ICT,"40,000원",전체대상,1
"우리 반 마음 탐구, 교실 심리학",30차시,2024-06-10,5,우리반 교실에 대해 더 잘알기,우리반을 들여다 보고 학급 운영을 잘 하기 위해서 어떻게 해야할지 고민해 볼 수 있는 유익한 연수였다. ,생활지도,"85,000원",유초등,1
"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",15차시,2024-06-10,5,환경교육,"요즘 제일 화두되는 것중의 하나가 미래의 기후위기와 관련된 환경교육이다. 아이들에게 환경을 보존하고, 기후 위기에 대처하는 방법을 알도록 하는데 도움이 되는 유익한 연수였다. ",학습지도,"40,000원",전체대상,1
"기초학력의 첫걸음, 수학교육",15차시,2024-06-10,5,기초학력의 중요성,"기초학력의 중요성중 단연 제일 중요한 과목을 뽑아보자면 수학이라고 할 수 있다. 학년이 올라갈수록 점점 수포자가 되어 간다는 수학교육, 기초부터 바로 잡아 할 수 있도록 지도가 중요한 것 같다. ",교과지도,"40,000원",전체대상,1
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",15차시,2024-06-10,5,나도 스마트해지기,"경력이 늘어날수록 오히려 디지털, 컴퓨터 관련 수업도구 활용 연수는 더 어려워져만 가네요. 정말 사소한 것도 모르는 가운데, 차근차근 설명해주셔서 너무 좋았습니다. ",ICT,"40,000원",전체대상,1
"더 나은 교실, 더 나은 미래를 위한 ESG 교육",15차시,2024-06-10,5,디지털 연수 따라잡기,"많이 들어봤으나, 차마 해보지 못하는 패들렛 연수를 처음 들어보면서, 너무 어렵게 느껴지지 않았고, 한번 해볼 수 있겠다는 생각이 들을 정도로 칱절히 잘 설명해주셔서 좋았음. 그리고 잘 못하면 멈춰놓고, 스스로 해볼수도 있으니 정말 좋았음. ",자기계발,"40,000원",전체대상,1
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",15차시,2024-06-10,5,이탈리아로 떠나자~!,"실상은 교실에 있지만_x000D_
이탈리아 연수를 들으러 로그인 할 때마다 너무 설레고 즐거웠습니다 ^^_x000D_
다른 나라 여행도 떠나고 싶네요!~넘 즐거웠어요~!!!_x000D_
이탈리아 도시 여행 연수 넘넘넘 강추추추~!!!!!!!!!!!!!!!!!!!!!!!!합니다 ^^*",자기계발,"50,000원",전체대상,1
"기초학력교육, 관계형성이 먼저다.",15차시,2024-06-10,5,추천합니다.,기본이 되는 기초학력신장을 위한 관계형성에 대한 알찬 연수였습니다. ,학습지도,"40,000원",유초등,1
학급 관리부터 업무까지 한 방에! 교사를 위한 노션 활용법,15차시,2024-06-10,4,시간을 두고 차근차근 집중해서 수강하기 ,"섣불리 도전했다가 무척 힘들게 수강 했습니다._x000D_
강의를 들으면서  실습을 함께 하려니 강의 속도를 따라잡기기 어려웠습니다._x000D_
시간을 충분히 가지고 수강 기간 동안 시간을 잘 안배하여  집중 실습하시기를 권장합니다.",ICT,"50,000원",전체대상,0
"가장 쉬운 수업도구, 패들렛과 띵커벨",15차시,2024-06-09,5,강력 추천해요.,짧은 기간 동안 열심히 들었습니다. 직접 수업에 적용하고나니 강사선생님의 다른 연수도 찾아보고 싶어졌습니다. ,ICT,"40,000원",전체대상,1
"민주시민의 길, 평화와 통일교육",15차시,2024-06-09,5,추천합니다.,학교 현장에서도 평화와 통일 교육을 할 수 있겠다는 용기를 얻었습니다. 감사합니다.,학습지도,"40,000원",전체대상,1
학교에서 꼭 필요한 진로교육,30차시,2024-06-09,5,추천합니다~~~,내용이 알차고 수업에 활용할 수 있는 내용이 많아요~~~,생활지도,"85,000원",전체대상,1
정재승의 인간수업,30차시,2024-06-09,5,정재승의 인간수업,"교사에게 필요한 융통성, 믿음, 이해라는 영역 안에서 뇌 과학을 통한 행동 이해의 기반을 넓혀준 연수입니다.  사람의 행동에 대해  좀 더 이해할 수 있게 되었고, 좋은 습관을 길러야 겠다는 성찰을 해주었습니다.",자기계발,"85,000원",전체대상,1
야나두 미국에서 한 달 살기- 현지 체험 편,30차시,2024-06-09,5,완전 강추 연수,야나두 다른 강좌와 다르게 강사님의 강의가 정말정말 알차서 정지 버튼을 얼마나 많이 눌렀는지 모릅니다. 하나도 버릴게 없는 알차고 유용한 표현 많이 배웠습니다. 바로 원어민교사와의 대화에서 써먹기 좋았습니다. 감사합니다. ,어학,"75,000원",전체대상,1
야나두 미국에서 한 달 살기- 현지 생활 편,30차시,2024-06-09,5,일상생활에 필요한 회화,일상생활에 필요한 회화를 편안하게 배울 수 있어서 좋았어요. 특히 강사님들의 따뜻함이 배어 있는 문법 강의가 좋았습니다. 감사합니다. ,어학,"75,000원",전체대상,1
여행과 문화로 배우는 맛있는 스쿨 - 일본어 편,15차시,2024-06-09,5,일본어 기초 탄탄하게 다져주시네요,"지금 기초 일본어 수업 따로 받고 있는데 일주일에 15분 정도 수업이라 그런지 몇 달을 배워도 제자리 걸음인데, 이번 연수는 빡시지만 아주 알차게 기초 문법 어휘를 정리해 주셔서 아주 유용했습니다. 감사합니다. ",어학,"40,000원",전체대상,1
야나두 미국에서 한 달 살기- 현지 토크 편,15차시,2024-06-09,5,고급진 표현 익히기에 딱 좋은 연수,평소 원어민교사와 대화를 자주 해도 사용하지 않는 표현을 연수를 토앻서 많이 배웠습니다. 특히 강사님들의 현지 경험담이 도움이 많이 되었습니다. 감사합니다!! ,어학,"40,000원",전체대상,1
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",15차시,2024-06-09,5,챗지피티를 수업에서 활용하는 법에 대한 이보다 좋은 예시는 없다!!!!!,다양한 인공지능 프로그램을 사용하면서 챗지피티로 아이디어를 상세화하는 과정을 직접 보여주셔서 수업에서 활용하는 방법에 대해 확실히 알게 되었다. 여러 소프트웨어 중에서도 특히 Pictory ai 활용과 ai 페인터 그리고 투닝으로 4컷 만화를 만들어보는 과정을 너무도 상세하고 자세하게 알려주셔서 쉽게 따라 할 수 있고 학생들과도 제작해볼 수 있게다는 자신감을 갖게 되었다. 그외 여러 최신 인공지능 소프트웨어도 체험해보는 소중한 시간이었다.  ai시대를 살아갈 교사들에게 꼭 들어야하는 연수로 꼭 추천한다,학습지도,"50,000원",유초등,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-06-09,5,교육의 변화가 시급한 때,"교사를 변화의 주체로 _x000D_
평가를 핵심 변화로_x000D_
당면한 미래를 준비하는 _x000D_
연수라고 생각해요.",학습지도,"50,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2024-06-08,5,한국사 강의 최고입니다.,최태성 선생님이는 워낙 유명해서 좋은 강의 잘 수강했습니다.,교과지도,"75,000원",전체대상,1
정재승의 미래학교,30차시,2024-06-08,5,막연한 미래의 학교모습을 그려볼수 있는 연수,막연한 미래의 학교모습을 그려볼수 있는 연수,학습지도,"75,000원",전체대상,1
"차이를 만드는 교실 습관, 자율의 힘",30차시,2024-06-08,5,차분히 다시 들어보고 싶은 연수,학급경영에 도움이 많이 되었어요. 복습겸 다시 들어보고 싶어요,학급경영,"75,000원",전체대상,1
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",15차시,2024-06-08,5,쉽게 배워 쉽게 사용하자!,"배우면서도 정말 즐거웠던 연수였습니다._x000D_
_x000D_
쉽게 배워 쉽게 사용하는 아주 실용적인 연수였습니다! 강추",ICT,"40,000원",전체대상,1
학급 관리부터 업무까지 한 방에! 교사를 위한 노션 활용법,15차시,2024-06-08,5,어려웠어요.,"5강까지 반복해서 보고 따라하려 노력했지만.. 결국 보는 것으로 만족했던 연수였습니다. ㅠ.ㅠ_x000D_
_x000D_
쉽게 이해가 될만한 책자가 있었으면 하는 바램입니다. _x000D_
기본기가 없으면 이해하기 어려운 연수였어요.",ICT,"50,000원",전체대상,1
다름을 이해하는 교실 속 통합교육,30차시,2024-06-08,5,다름을 이해하는 교실 속 통합교육,"김성남 교수님 통합교육의 실질적인 이해로 많은 가르침을 받았습니다. _x000D_
_x000D_
유익한 강의를 해줘서 정말정말 감사합니다,",생활지도,"65,000원",전체대상,1
수업이 막막할 땐 성공 보장 수업 스킬,30차시,2024-06-08,4,좋아요,아이스크림  사이트 활용에 유익했어요.,학습지도,"85,000원",유초등,0
아이스크림으로 완성하는 에듀테크,15차시,2024-06-08,5,2022 교육과정에 꼭 필요한 연수,"2022 교육과정에서는 디지털 역량이 매우 강조되는데, 이를 쉽게 활용할 수 있도록 수업 공유가 잘 되어 있어 누구나 쉽게 도전할 수 있는 연수입니다. ",ICT,"50,000원",유초등,1
한국어교원양성과정 Ⅰ,30차시,2024-06-08,5,시험이 너무 어려워요,한국어학급 지도에 도움을 받고자 연수했는데 시험이 너무 어려웠습니다. ,자기계발,"75,000원",전체대상,1
"우리 반 마음 탐구, 교실 심리학",30차시,2024-06-08,5,교실 속 아이들 마음 탐구에 도움이 될 것 같아요.,학급 아이들의 마음 탐구에 도움이 되는 연수 같습니다. 두 분 선생님의 대화를 통해 편안한 마음으로 연수 들었고 심리학과 교실 놀이를 연결시켜 지도할 수 있는 방법도 찾을 수 있어 좋았습니다. 감사합니다. ,생활지도,"85,000원",유초등,1
독서지도사 양성과정 1,30차시,2024-06-08,5,인공지능을 어떻게 바라봐야 할 것인가?,"인공지능으로 생활의 변화가 오는 것은 어쩔 수 없는 시대적 상황이 되었는데, 교육자로서 인공지능을 어떻게 바라봐야 할 것인가는 많은 고민을 하게 된다. 이번 연수를 통해 인공지능에 대한 발전 방향과 한계, 그리고 노력들을 살펴보면서 교육이 해야할 역할도 마음에 정리하는 데에 도움이 되었다.",학습지도,"85,000원",전체대상,1
초기 문해력 - 기초학력 디딤돌 세우기,15차시,2024-06-07,5,부담없이 들을 수 있는 알짜 연수,아이들 하교 후에 부담없이 들을 수 있는 알짜 연수입니다. 차시도 적당하고 추천합니다. ,학습지도,"50,000원",유초등,1
쏭내관과 함께하는 랜선궁궐기행,15차시,2024-06-07,5,몰입감 높은 연수,저도 쏭내관의 궁궐기행 책을 읽고 가족들과 함께 궁궐답사를 다녀온 적이 있습니다. 이번에 다시 랜선 궁궐기행 연수를 들으니 그 때의 기억이 새록새록 나고 새롭게 복원된 건물들도 보고 싶다는 생각이 듭니다. 다른 연수에 비해 몰입감이 놓아서 연수를 듣다보면 시간이 정말 빨리 지나갑니다. 좋은 연수 감사합니다.,교과지도,"40,000원",유초등,1
"뭉크씨, 도파민 과잉입니다",15차시,2024-06-07,5,나는 도파민 과잉인가?ㅎ,"현대인들이 경험하는 정신적, 감정적 문제들을 도파민과 관련지어 설명하며, 그 해결책을 제시합니다. 도파민은 우리 뇌에서 분비되는 신경전달물질로, 보상과 쾌락, 동기부여와 관련이 깊습니다. 현대 사회는 다양한 자극으로 인해 도파민 분비가 과도하게 이루어지는 경우가 많으며, 이는 여러 가지 부정적인 심리적 상태를 초래할 수 있습니다._x000D_
""뭉크씨, 도파민 과잉입니다""를 읽고 진행한 연수는 매우 유익한 경험이었습니다. 이 책을 통해 현대인들이 직면한 도파민 관련 문제를 이해하고, 이에 대처하는 방법을 배웠으며, 실생활에 적용할 수 있는 구체적인 해결책을 탐색하는 기회가 되었습니다.",자기계발,"50,000원",전체대상,1
Talk Talk(똑똑)한 금융교육,15차시,2024-06-07,5,"금융교육이 필요한 시대, 좋은 연수입니다!",학교에서 실질적인 금융교육이 부족하다고 느끼는 요즘 아주 적절한 연수였습니다. 정규교육과정에는 금융교육에 대한 내용이 조금 부족하게 있는데 창체활동으로 보충할 수 있는 다양한 자료와 활동예시들이 있어서 활용하기에 좋습니다. 유익한 연수를제공해주셔서 감사합니다!,학습지도,"35,000원",전체대상,1
"마을이 잇는 교육, 교육이 짓는 아이들 마을교육공동체(실무자편)",15차시,2024-06-07,5,마을 교실 교육 후기,좋은 사례를 바탕으로 유익한 정보를 많이 전달해 주셔서 앞으로 마을 학교 강사의 역할에 도움이 될 것 같다. ,학습지도,"40,000",전체대상,1
시크릿 플레이리스트 슈퍼콘서트,30차시,2024-06-06,5,타로강의," 타로 강의를 청강 하면서 타로 가 점을 본다고  보다는  학생들의 내면 세계를 파악하_x000D_
_x000D_
는 상담도구 로  활용하여  학생들과 보다 친밀한 관계를 유지 할  수 있는 계기가 마련 _x000D_
_x000D_
될 수 있다고 생각합니다.",자기계발,"85,000원",전체대상,1
수업에 바로 써먹는 문해력 도구,15차시,2024-06-06,3,초등보다는 중등에 유용한 연수,다양한 방법으로 문해력 향상에 도움이 되는 지도법을 알려주시는데 초등보다는 중등에 적합해 보임. ,학습지도,"50,000원",전체대상,0
친절한 차이티의 중국어 비밀과외 - 패턴,15차시,2024-06-06,5,일상생활에 쓰이는 패턴 익히는데 유익한 연수,외우기 힘든 한자도 알기쉽고 재미있게 알려주시고 지루하지 않게 차분하게 다양한 패턴을 알려주셔서 도움이 되었음.,어학,"50,000원",전체대상,1
